Original Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Original Global_Sales,Reason For Removal
13466,Mana Khemia: Alchemists of Al-Revis (JP sales),PS2,2007,Role-Playing,Nippon Ichi Software,0,0,0.04,0,0.04,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
10352,Mega Man Battle Network 5: Double Team DS (JP sales),DS,2005,Role-Playing,Nintendo,0,0,0.11,0,0.11,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
11883,Mega Man Battle Network 5: Double Team DS (US sales),DS,2005,Role-Playing,Nintendo,0.07,0,0,0,0.07,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
4227,Metal Gear Solid: The Essential Collection,PS2,2007,Adventure,Konami Digital Entertainment,0.23,0.18,0,0.06,0.46,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
14216,Metal Gear Solid: The Essential Collection (JP sales),PS2,2007,Adventure,Konami Digital Entertainment,0,0,0.03,0,0.03,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
12277,My Pet Shop,DS,2008,Simulation,Square Enix,0.06,0,0,0,0.06,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
14342,My Pet Shop (JP sales),DS,2008,Simulation,Square Enix,0,0,0.03,0,0.03,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
1881,Namco Museum Battle Collection,PSP,2005,Misc,Sony Computer Entertainment,0.75,0.18,0,0.16,1.09,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
15116,Namco Museum Battle Collection (JP sales),PSP,2005,Misc,Sony Computer Entertainment,0,0,0.02,0,0.02,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
3332,Naruto: Ultimate Ninja,PS2,2003,Fighting,Atari,0.5,0.02,0,0.08,0.61,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
5619,Naruto: Ultimate Ninja (JP sales),PS2,2003,Fighting,Atari,0,0,0.32,0,0.32,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
4481,Naruto: Ultimate Ninja 3,PS2,2005,Fighting,Atari,0.36,0.01,0,0.06,0.44,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
5227,Naruto: Ultimate Ninja 3 (JP sales),PS2,2005,Fighting,Atari,0,0,0.36,0,0.36,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
6490,Naruto: Ultimate Ninja Heroes,PSP,2006,Fighting,Namco Bandai Games,0.26,0,0,0,0.26,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
12299,Naruto: Ultimate Ninja Heroes (JP sales),PSP,2006,Fighting,Namco Bandai Games,0,0,0.06,0,0.06,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
3494,Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,0.28,0.22,0,0.07,0.58,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
13320,Naruto: Uzumaki Chronicles 2 (JP sales),PS2,2006,Action,Namco Bandai Games,0,0,0.05,0,0.05,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
16517,National Geographic Panda (JP sales),DS,2008,Simulation,Ubisoft,0,0,0.01,0,0.01,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
13457,National Geographic Panda (US sales),DS,2008,Simulation,Ubisoft,0.04,0,0,0,0.04,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
12012,Point Blank DS (JP sales),DS,2006,Shooter,Atari,0,0,0.07,0,0.07,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
12739,Point Blank DS (US sales),DS,2006,Shooter,Atari,0.05,0,0,0,0.06,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
12557,Pop Cutie! Street Fashion Simulation,DS,2008,Simulation,Tecmo Koei,0.06,0,0,0,0.06,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
14836,Pop Cutie! Street Fashion Simulation (JP sales),DS,2008,Simulation,Tecmo Koei,0,0,0.03,0,0.03,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
12611,PoPoLoCrois,PSP,2005,Role-Playing,Ignition Entertainment,0.05,0,0,0,0.06,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
11396,PoPoLoCrois (JP sales),PSP,2005,Role-Playing,Ignition Entertainment,0,0,0.08,0,0.08,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
10922,Puyo Pop Fever (JP sales),DS,2004,Puzzle,Ignition Entertainment,0,0,0.09,0,0.09,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
14083,Puyo Pop Fever(us sales),DS,2004,Puzzle,Ignition Entertainment,0.03,0,0,0,0.04,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
12178,R-Type Command,PSP,2007,Strategy,Rising Star Games,0.05,0,0.01,0.01,0.07,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. The below record appears to be a correction for the US-sales, so the new merged row will reflect that value."
13897,R-Type Command (correct US sales),PSP,2007,Strategy,Rising Star Games,0.04,0,0,0,0.04,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. This record appears to be a correction for the US-sales of the above record, so the new merged row will reflect that value."
3551,RalliSport Challenge,XB,2002,Racing,Microsoft Game Studios,0.39,0.16,0,0.02,0.57,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
16328,RalliSport Challenge(JP sales),XB,2002,Racing,Microsoft Game Studios,0,0,0.01,0,0.01,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
14291,Raw Danger!,PS2,2006,Action,505 Games,0.02,0.01,0,0,0.03,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
12619,Raw Danger! (JP sales),PS2,2006,Action,505 Games,0,0,0.06,0,0.06,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
14970,Rengoku II: The Stairway To H.E.A.V.E.N.,PSP,2006,Action,Konami Digital Entertainment,0.02,0,0,0,0.02,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
16026,Rengoku II: The Stairway to H.E.A.V.E.N. (jp sales),PSP,2006,Action,Konami Digital Entertainment,0,0,0.01,0,0.01,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
10027,Retro Game Challenge,DS,2007,Action,Namco Bandai Games,0,0,0.11,0,0.11,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
10741,Retro Game Challenge (US sales),DS,2007,Action,Namco Bandai Games,0.1,0,0,0,0.1,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
14272,River King: Mystic Valley (jp sales),DS,2007,Sports,Rising Star Games,0,0,0.03,0,0.03,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
11855,River King: Mystic Valley (US sales),DS,2007,Sports,Rising Star Games,0.07,0,0,0,0.07,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
16334,Rondo of Swords (jp sales),DS,2007,Role-Playing,Success,0,0,0.01,0,0.01,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
8617,Rondo of Swords (US sales),DS,2007,Role-Playing,Success,0.16,0,0,0,0.16,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
8842,Samurai Shodown Anthology,PS2,2008,Fighting,Ignition Entertainment,0.07,0.06,0,0.02,0.15,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
16057,Samurai Shodown Anthology (JP sales),PS2,2008,Fighting,Ignition Entertainment,0,0,0.01,0,0.01,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
11190,Samurai Warriors 2: Xtreme Legends,PS2,2007,Action,Tecmo Koei,0.04,0.03,0,0.01,0.09,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
5557,Samurai Warriors 2: Xtreme Legends (JP sales),PS2,2007,Action,Tecmo Koei,0,0,0.33,0,0.33,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
9387,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,PS2,2008,Role-Playing,Atlus,0.07,0.05,0,0.02,0.13,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
8407,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PS2,2008,Role-Playing,Atlus,0,0,0.17,0,0.17,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
4374,Shin Megami Tensei: Persona 3,PS2,2006,Role-Playing,Tecmo Koei,0.22,0.03,0,0.2,0.45,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
7459,Shin Megami Tensei: Persona 3 (jp sales),PS2,2006,Role-Playing,Tecmo Koei,0,0,0.21,0,0.21,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
5301,SimCity Creator,DS,2008,Simulation,Electronic Arts,0.3,0.03,0,0.03,0.35,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
8175,SimCity Creator (JP sales),DS,2008,Simulation,Electronic Arts,0,0,0.18,0,0.18,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
7928,SoulCalibur Legends,Wii,2007,Action,Namco Bandai Games,0.16,0.01,0,0.01,0.19,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
16154,SoulCalibur Legends (JP sales),Wii,2007,Action,Namco Bandai Games,0,0,0.01,0,0.01,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
8276,Sudoku Gridmaster,DS,2006,Puzzle,Nintendo,0.13,0.03,0,0.01,0.17,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
7917,Sudoku Gridmaster (JP sales),DS,2006,Puzzle,Nintendo,0,0,0.19,0,0.19,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
9065,Super Dodgeball Brawlers,DS,2008,Sports,Arc System Works,0.13,0,0,0.01,0.14,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
14211,Super Dodgeball Brawlers (jp sales),DS,2008,Sports,Arc System Works,0,0,0.03,0,0.03,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
11392,Super Robot Taisen OG Saga: Endless Frontier,DS,2008,Role-Playing,Namco Bandai Games,0.08,0,0,0.01,0.08,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
9030,Super Robot Taisen OG Saga: Endless Frontier (JP sales),DS,2008,Role-Playing,Namco Bandai Games,0,0,0.14,0,0.14,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
16416,The Godfather (JP sales),X360,2006,Action,Electronic Arts,0,0,0.01,0,0.01,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
6864,The Godfather (US & Others sales),X360,2006,Action,Electronic Arts,0.2,0.02,0,0.02,0.24,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
7543,The King of Fighters Collection: The Orochi Saga,PS2,2006,Fighting,Ignition Entertainment,0.1,0.08,0,0.03,0.2,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
15602,The King of Fighters Collection: The Orochi Saga (JP sales),PS2,2006,Fighting,Ignition Entertainment,0,0,0.02,0,0.02,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
10745,Touch Detective,DS,2006,Adventure,505 Games,0.06,0.03,0,0.01,0.1,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
15628,Touch Detective (JP sales),DS,2006,Adventure,505 Games,0,0,0.02,0,0.02,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
11419,Ultimate Ghosts 'n Goblins,PSP,2006,Platform,Capcom,0.07,0.01,0,0.01,0.08,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
13263,Ultimate Ghosts 'n Goblins (JP sales),PSP,2006,Platform,Capcom,0,0,0.05,0,0.05,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
14953,Virtua Tennis: World Tour (jp sales),PSP,2005,Sports,Sega,0,0,0.02,0,0.02,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
3029,Virtua Tennis: World Tour (US & Others sales),PSP,2005,Sports,Sega,0.16,0.36,0,0.14,0.67,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
12473,Warriors of the Lost Empire,PSP,2007,Role-Playing,Mercury Games,0.05,0,0,0.01,0.06,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
15162,Warriors of the Lost Empire (JP sales),PSP,2007,Role-Playing,Mercury Games,0,0,0.02,0,0.02,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
9572,Warriors Orochi 2,PS2,2008,Action,Tecmo Koei,0.06,0.05,0,0.02,0.13,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
4808,Warriors Orochi 2 (JP sales),PS2,2008,Action,Tecmo Koei,0,0,0.4,0,0.4,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
6191,Wild ARMs 5,PS2,2006,Role-Playing,505 Games,0.14,0.11,0,0.04,0.28,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
9714,Wild ARMs 5 (jp sales),PS2,2006,Role-Playing,505 Games,0,0,0.12,0,0.12,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
4924,Yoshi Touch & Go,DS,2005,Platform,Nintendo,0.34,0.02,0,0.03,0.39,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
7284,Yoshi Touch & Go (JP sales),DS,2005,Platform,Nintendo,0,0,0.22,0,0.22,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
10477,Yu-Gi-Oh! 5D's Wheelie Breakers,Wii,2009,Racing,Konami Digital Entertainment,0.09,0.01,0,0.01,0.1,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. Publisher verified as Konami Digital Entertainment, release year verified as 2009. "
15479,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,N/A,Racing,Unknown,0,0,0.02,0,0.02,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. Publisher verified as Konami Digital Entertainment, release year verified as 2009. "
7141,Yu-Gi-Oh! GX: Spirit Caller (American Sales),DS,2006,Misc,Konami Digital Entertainment,0.18,0.03,0,0.02,0.22,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
13167,Yu-Gi-Oh! GX: Spirit Caller (Japan Sales),DS,2006,Misc,Konami Digital Entertainment,0,0,0.05,0,0.05,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
15554,Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),PS2,2007,Strategy,Konami Digital Entertainment,0,0,0.02,0,0.02,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
10924,Yu-Gi-Oh! GX: The Beginning of Destiny (US sales),PS2,2007,Strategy,Konami Digital Entertainment,0.05,0.04,0,0.01,0.09,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
9230,Yu-Gi-Oh! Nightmare Troubadour (JP sales),DS,2005,Action,Konami Digital Entertainment,0,0.04,0.1,0,0.14,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
8946,Yu-Gi-Oh! Nightmare Troubadour (US sales),DS,2005,Action,Konami Digital Entertainment,0.15,0,0,0,0.15,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
