Original Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Original Global_Sales,Reason For Removal
7067,Tetris 2 (weekly jp sales),GB,1992,Puzzle,Nintendo,0,0,0.23,0,0.23,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. The original record contained measures for each of the regions, and was labeled as ""all region sales"", while this record was incomplete. This secondary record was excluded to avoid potential double-counting, and the original record was altered to remove ""all region sales"" from the title and marked as a Original Data - Standardized Title on the Cleaned_vgsales_V2 sheet"
16014,Tom Clancy's Ghost Recon Advanced Warfighter (weekly JP sales),X360,2006,Shooter,Ubisoft,0,0,0.01,0,0.01,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. The original record contained measures for each of the regions, while this record was incomplete. This secondary record was excluded to avoid potential double-counting."
12567,World Soccer Winning Eleven 9 (US sales),PSP,2005,Sports,Konami Digital Entertainment,0.05,0,0,0,0.06,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. The original record contained measures for each of the regions, while this record was incomplete. This secondary record was excluded to avoid potential double-counting, and the original record was altered to remove ""JP & others sales"" from the title and marked as a Original Data - Standardized Title on the Cleaned_vgsales_V2 sheet"
5304,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,N/A,Action,N/A,0.15,0.05,0.14,0.01,0.35,"Duplicate/Alternate - Same Platform as another record, but different genre with the rest of the information incomplete. Verified that there was no other release with this title for this platform than the original record. This record is incomplete and appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
5645,Gold's Gym: Cardio Workout (Others sales),Wii,2008,Sports,Ubisoft,0,0.3,0,0.02,0.32,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
16468,Help Wanted: 50 Wacky Jobs (jp sales),Wii,2008,Simulation,Hudson Soft,0,0.01,0.01,0,0.01,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
10639,International Superstar Soccer 64 (weekly JP sales),N64,1997,Sports,Konami Digital Entertainment,0,0,0.05,0.05,0.1,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
7383,Naruto: Clash of Ninja (JP sales),GC,2003,Fighting,Tomy Corporation,0,0,0.21,0.01,0.21,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
5762,Naruto: Ninja Destiny (US sales),DS,2006,Fighting,Namco Bandai Games,0.31,0,0,0,0.31,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
6910,Scrabble (Others sales),DS,2009,Puzzle,Ubisoft,0,0.24,0,0,0.24,"Duplicate/Alternate - Same Platform, Year, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. Genre verified as Misc. This secondary record was excluded to avoid potential double-counting."
3657,Secret Agent Clank(US sales),PSP,2008,Platform,Sony Computer Entertainment,0.33,0.22,0,0,0.55,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
4600,SpongeBob's Truth or Square (US sales),DS,2009,Action,THQ,0.42,0,0,0,0.42,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
4905,SpongeBob's Truth or Square (US sales),PSP,2009,Action,THQ,0.39,0,0,0,0.39,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
6670,SpongeBob's Truth or Square (US sales),X360,2009,Action,THQ,0.25,0,0,0,0.25,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
3034,Summer Sports: Paradise Island (Others sales),Wii,2008,Sports,Ubisoft,0,0.66,0,0.01,0.67,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
4158,The Godfather (JP sales),PS2,2006,Action,Electronic Arts,0.39,0.02,0,0.06,0.47,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
6274,The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,N/A,Action,N/A,0,0,0.27,0.01,0.27,"Duplicate/Alternate - Same Platform and Genre as another record with the rest of the information incomplete. The original record contained measures for each of the regions, while this record was incomplete. This secondary record was excluded to avoid potential double-counting."
6063,The Urbz: Sims In the City (US weekly sales),DS,2004,Simulation,Electronic Arts,0.27,0,0,0.02,0.29,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. The original record and was labeled as ""all region sales"", and this record was incomplete. This secondary record was excluded to avoid potential double-counting, and the original record was altered to remove ""all region sales"" from the title and marked as a Original Data - Standardized Title on the Cleaned_vgsales_V2 sheet"
6596,Tomb Raider: Underworld (Others sales),PS2,2009,Adventure,Eidos Interactive,0,0.21,0,0.04,0.26,"Duplicate/Alternate - Same Platform, Year, and Publisher as another record. This record appears to be a secondary/partial sales record. Genre verified as Action. This secondary record was excluded to avoid potential double-counting."
6506,TouchMaster 3(Others sales),DS,2009,Puzzle,Warner Bros. Interactive Entertainment,0,0.24,0,0.02,0.26,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
4095,Yu-Gi-Oh! Forbidden Memories (JP sales),PS,1999,Role-Playing,Konami Digital Entertainment,0,0,0.45,0.03,0.48,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. This secondary record was excluded to avoid potential double-counting."
4758,Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),GBA,2001,Misc,Konami Digital Entertainment,0,0,0.4,0.01,0.41,"Duplicate/Alternate - Same Platform, Year, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record. Genre confirmed as Strategy. This secondary record was excluded to avoid potential double-counting."
1358,NBA Live 06 (Weekly american sales),PS2,2005,Sports,Electronic Arts,1.35,0.05,0,0.02,1.42,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record appears to be a secondary/partial sales record.This secondary record was excluded to avoid potential double-counting, and the original record was altered to remove ""all region sales"" from the title and marked as a Original Data - Standardized Title on the Cleaned_vgsales_V2 sheet"
789,Project Gotham Racing (JP weekly sales),XB,2002,Action,Microsoft Game Studios,1.54,0.44,0.04,0.07,2.1,Duplicate/Alternate - Same Platform and Publisher as another record. This record has conflicting information and appears to be a secondary/partial sales record. Genre confirmed as Racing. This secondary record was excluded to avoid potential double-counting.
1468,Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004,Platform,Sony Computer Entertainment,1.27,0.05,0,0.02,1.33,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record is incomplete and appears to be a secondary/partial sales record.This secondary record was excluded to avoid potential double-counting."
12067,Street Fighter II': Special Champion Edition (JP weekly sales),GEN,1993,Action,Capcom,0,0,0.07,0,0.07,"Duplicate/Alternate - Same Platform as another record. This record has conflicting information, is incomplete, and appears to be a secondary/partial sales record.Verified Genre, Year, and Publisher of original record. This secondary record was excluded to avoid potential double-counting."
